timestamp_us,value
1431142,26.5
1513428,26.5
1650571,26.5
1979714,26.5
2253999,26.5
2583142,26.5
2802571,26.5
3021999,26.5
3131714,26.5
3323714,26.5
3488285,26.5
3625428,26.5
3735142,26.5
3872285,26.5
3981999,26.5
4119142,26.5
4256285,26.5
4338571,26.5
4448285,26.5
4530571,26.5
4612857,26.5
4695142,26.5
4777428,26.5
4832285,26.5
4859714,26.8
4887142,26.8
4941999,26.8
4996857,26.8
5024285,26.8
5079142,27.1
5106571,27.1
5133999,27.1
5188857,27.1
5216285,27.1
5243714,27.1
5271142,27.1
5325999,27.1
5353428,27.1
5408285,27.1
5435714,27.1
5490571,27.1
5517999,27.1
5600285,27.4
5819714,27.8
5874571,27.4
5956857,27.4
6093999,27.4
6231142,27.4
6368285,27.4
6477999,27.8
6532857,27.8
6642571,28.4
6724857,28.7
